Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Class
36.012783,38.5702,3.1852772,10.069064,112.52557,78.54544,0.19975871,-0.6340454,1.0
19.259758,38.92603,4.1183105,14.52416,126.35984,62.623714,0.11897869,-0.016687594,1.0
132.53975,46.51514,0.073139325,5.95844,0.5156752,13.971532,29.24638,611.36255,1.0
34.58199,52.141605,1.7496021,2.1663253,126.840546,78.98776,-0.29334223,-1.1076621,1.0
7.411307,38.5458,5.190217,20.651545,189.61853,76.266266,-1.5093828,-1.0348777,1.0
53.102875,34.50579,3.375011,15.757617,40.592083,64.86893,1.6790667,1.5241548,1.0
67.35386,83.70295,0.40587595,-1.0604521,115.53948,92.953766,-0.5748883,-1.8250042,1.0
82.2216,36.138054,1.8670586,9.724004,9.152539,54.23661,4.428741,9.602227,1.0
60.18857,36.678017,3.1963806,15.214629,10.593277,32.696056,4.1608286,16.189034,1.0
83.19224,65.50365,0.4498947,-0.34537178,74.428474,70.353546,0.6387358,-0.65123,1.0
6.017508,30.678284,6.5501914,37.832653,197.20737,78.22416,-1.7135676,-0.9950148,1.0
27.615437,33.853413,4.4154024,18.830221,122.37847,80.402214,0.04683087,-0.6207629,1.0
84.952484,32.817135,2.3811119,14.811539,6.257962,51.811073,5.631007,15.709124,1.0
75.84825,48.3243,1.1277455,1.2664224,47.93328,79.351234,0.9751724,-0.5937834,1.0
6.054447,38.928062,5.527449,22.779879,198.05663,79.83971,-1.8069116,-1.2441403,1.0
24.900656,30.406681,5.508796,32.15074,77.44812,64.925835,0.96490854,1.99404,1.0
94.68425,38.711834,1.4502093,7.019567,5.8148394,51.381313,5.7085276,15.049994,1.0
21.181107,34.2071,4.78596,19.299824,149.36684,96.723595,-0.43520042,-1.084754,1.0
19.005133,31.617512,5.5284414,29.942183,103.38647,64.922714,0.5357476,1.0199127,1.0
10.5634,32.209423,5.744302,30.823196,143.64066,67.80314,-0.19227704,-0.10145294,1.0
108.78367,43.280968,0.548715,2.882897,2.597943,37.689697,8.959227,33.375935,1.0
17.199823,55.62817,1.8609966,1.6368093,160.95633,77.885,-1.0546783,-1.2946568,1.0
120.35929,39.111317,0.33326668,10.675719,0.55101025,18.054089,28.441141,229.98451,1.0
65.55172,37.235325,2.3680701,9.112208,44.113956,71.875435,1.5051425,0.37381342,1.0
