Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
45152.484,-8.395537,14.799298,-27.894527,7.892012,-17.242704,-2.3567395,-19.202566,15.495141,-4.7761035,-13.475,6.167613,-10.797581,1.7883879,-15.789111,-0.099182256,-8.174992,-20.092775,-4.5873027,1.5306219,0.8520078,0.48303214,0.48433137,-0.1707107,0.1484442,0.9892431,1.0031248,0.6460829,-0.46495122,0.44349095,1.0
110411.0,-2.0663218,4.563465,-6.1445193,4.9311094,-1.488794,-1.6030135,-5.1487856,1.872796,-2.9772098,-5.4802046,5.9093566,-10.311295,0.30182028,-9.936781,-0.7126913,-5.847368,-11.671186,-4.0553064,1.3194084,0.07325778,0.6837972,0.5110735,-0.16971222,-0.8409339,0.12564802,-0.176989,0.4599531,0.37715483,1.0,1.0
133887.72,-3.1086912,1.550426,-4.6274962,2.3264453,-2.656853,-0.7945374,-3.158372,1.2577206,-3.3274465,-5.2572856,3.4009645,-3.7807298,-0.062236715,-4.6149125,0.49270684,-5.1381793,-7.292119,-2.4148715,2.9542072,0.33536765,1.0538305,0.36721495,0.21382926,-0.21081662,-0.11331402,0.16550569,0.6786554,0.18735677,341.50546,1.0
98461.766,-17.453728,2.1771162,-12.891467,8.077749,-2.1159067,-3.4737594,-18.237722,1.6398357,-8.426675,-11.296777,4.371986,-6.703937,-1.6743003,-6.970724,-0.4337091,-7.8136754,-18.503931,-8.883369,1.0943239,-0.78402525,0.9006986,-3.5809176,-2.300973,0.17022672,-0.27937916,-0.94518894,0.50457346,-0.9431671,155.9483,1.0
8004.065,1.8005563,0.95506597,-0.9552944,5.4947047,0.7464947,-0.10499212,-0.70462596,0.72020936,-2.9706173,-0.6770655,4.8151846,-3.879884,-1.522804,-4.6126146,0.394327,2.1476629,-0.012270529,1.885783,-0.46206886,2.4158585,0.2654744,-0.60026246,3.0378423,-0.1539241,-1.4402683,0.18628086,1.3195493,0.09095791,0.8285107,1.0
152573.8,-1.9288521,-2.625817,-2.0116959,2.5812855,-0.9678995,-2.1540098,-2.0056372,1.0903795,-2.034976,-5.5572147,2.8129048,-2.4899826,-0.5175528,-3.6913745,0.6879353,-3.8773522,-3.553442,-1.7711631,2.0075188,1.2745477,0.61598516,0.26985377,0.53010416,0.15205704,-0.17083488,-0.42852288,0.6551968,0.18823403,423.32578,1.0
144500.6,-1.8286134,-4.229015,-1.5706655,2.7191277,0.537333,-1.6105485,-3.1098742,0.67355806,-4.136699,-2.4581754,0.58942443,-3.5234303,-1.8307292,-2.2116323,1.7022834,-8.474398,-10.685446,-4.4799423,3.8564463,-0.10195759,0.9557901,0.99650836,-0.08061067,0.22533476,-0.2809463,-0.22257617,-1.290981,0.015280359,390.0869,1.0
166223.39,-1.1050062,1.3187639,-12.16275,2.2008944,-0.77065176,-2.5041974,-4.9485474,1.9131714,-1.8777946,-8.365108,5.864781,-10.464356,1.2167667,-8.5701065,-0.60325223,-10.519791,-10.849888,-3.6608188,2.960748,1.6187543,0.8320427,1.1664958,0.47893682,-0.4233832,0.3076358,0.39784056,-1.9539983,0.25538018,401.71255,1.0
44598.543,-1.730924,1.8235748,-3.7301207,2.2831888,-0.80292374,-1.5668997,-0.7630154,0.94463634,-2.2704918,-4.450609,4.750612,-5.0728827,0.25710556,-4.1504207,0.04034492,-2.2526183,-3.98566,-0.22747627,0.9575423,0.30058074,0.45892608,0.9409882,-0.13442546,-0.42622274,0.2937757,0.15414529,0.59892607,0.23007548,50.375717,1.0
46380.598,-1.1033925,-0.8615096,-1.7066613,1.6869236,-0.5502967,-1.1789206,-2.9346242,1.0625179,-0.6863692,-1.2904345,2.490334,-4.2631483,-0.63365155,-3.4503913,0.5609986,-2.2695136,-5.527956,-0.5800419,1.3207415,-0.936965,1.899311,-0.5031201,1.8020222,-0.29209912,-2.0137947,0.6980708,0.8727207,0.12702923,0.8716657,1.0
142952.48,-3.6964812,13.157984,-11.755314,4.451597,-11.42885,-1.5465918,-19.396257,3.6478622,-1.9385655,-4.097863,5.56442,-15.305927,0.03419071,-12.084386,-2.3485298,-12.441027,-21.255104,-8.934104,2.6247823,-2.48886,1.9050308,-0.32787815,2.1350093,-0.14295137,-1.6109998,0.45723122,0.056479324,0.2831531,0.7933422,1.0
164414.88,1.6284677,-7.0632706,0.6468948,0.68552566,4.601904,-0.8554454,1.984301,-37.044575,1.4421133,-0.22831634,-0.9542976,0.3064727,-1.9245849,-0.826987,1.1144631,2.2853708,6.508836,2.5586598,-3.224292,0.34042957,0.53161985,-7.284651,4.874121,-0.30644,-1.3677986,-1.1121955,-1.1557888,0.29200396,365.76706,1.0
16769.584,-22.732288,16.429604,-29.876047,10.407364,-21.642614,-2.3209183,-19.809355,16.742153,-6.9086466,-14.139555,4.3530684,-17.213305,0.4501973,-16.337923,-0.68798196,-12.650086,-23.203428,-9.090784,3.5756667,-3.956364,2.6157353,-2.8952022,-0.5207489,0.7951411,-0.2853252,0.28601828,-2.4792335,-0.15579216,0.0045852815,1.0
41654.98,-16.05055,16.355444,-29.465954,11.075901,-21.453835,-2.3978608,-19.916769,17.025099,-4.083268,-9.759427,5.6283154,-15.09158,1.3293923,-13.757415,-2.4839208,-12.226464,-14.618015,-9.051725,1.1291813,-1.5636971,0.5894922,-0.80546814,0.061947607,0.7431304,0.028807156,0.32248372,0.73563194,-1.3201772,0.88311964,1.0
149418.73,-0.74317557,1.8146014,-2.9827175,1.7967124,0.1794777,-1.7400453,0.43740457,0.7136464,-2.06021,-3.5552962,3.6014793,-2.9076104,0.31358054,-3.71763,-0.07117457,-0.42186427,-1.3536171,-0.058318786,0.3935932,0.24806263,-1.8465415,1.20847,-0.24692455,-0.6434092,0.16928248,-0.24562486,0.28841382,0.2014315,155.45547,1.0
27315.344,-9.191527,4.458921,-10.9526205,6.132523,-7.9741993,-4.8084617,-12.871744,12.305132,-6.1010737,-13.173229,6.2579665,-5.8453727,1.5030892,-11.931031,-0.4011987,-3.6141438,-13.760025,-4.5860314,0.6110326,0.89626503,0.51875407,-0.06309101,-0.75582457,0.16463478,0.37342888,0.30389524,1.1558808,-0.25675476,0.00017389985,1.0
36247.17,-5.4065804,1.1393167,-2.02062,1.338452,-0.2411326,-1.4974118,-5.6280203,1.1752872,0.7976332,-2.273758,-1.2548832,-2.6502626,0.1441111,-1.2637165,-0.4483185,-3.6863608,-10.881207,-4.6347494,1.1756852,-3.8404143,0.12620115,1.1256158,-0.5752069,-0.15566123,-0.063196056,-0.48817042,0.24062523,-0.10286663,35.81789,1.0
169018.19,0.89125866,-6.213879,0.42781243,0.79098105,3.1057503,-0.82344526,1.9462032,-27.661407,-0.09298288,-0.6605996,-0.15932551,-0.39643922,-1.9611685,-2.0606837,0.61227906,2.0884724,5.8109455,2.0209384,-2.3179028,0.35183692,0.71566164,-1.5509456,4.7032437,-0.36246553,-0.6743613,-0.45317894,0.10663435,0.480475,253.9053,1.0
165500.14,-2.5028749,-6.731882,0.51434046,0.72576964,4.4754114,3.5944884,1.8188409,-37.25614,1.6124315,-0.10274109,-1.2263036,0.14772128,-2.000722,-0.89390606,1.6803123,2.2880619,6.4843235,2.5340767,-3.26444,-4.0639343,1.7231783,-8.742741,4.8242865,-0.36378962,-1.6864818,-1.093455,1.3336079,0.16690563,377.0222,1.0
32858.36,1.8844025,2.592972,0.0035899535,3.0371573,4.3093557,-0.78141326,1.9865886,-32.15513,-1.8481901,-0.15899253,3.882393,-3.8000815,-1.0579343,-6.235371,-1.0181068,2.2906058,6.5031238,2.5699697,-3.2861476,1.6460545,-2.3135595,0.109694675,-0.28840786,-0.18513907,0.16874526,-0.008383659,0.43756795,-0.572492,0.027871128,1.0
88907.59,-10.07142,11.472262,-12.841463,7.0267878,-4.2897363,-1.5029075,-5.236081,0.96811897,-2.369527,-11.185038,4.053607,-14.084115,-0.84682935,-15.646054,-0.2022543,-8.767521,-6.3918996,-4.1707983,0.5435271,0.018252915,1.2614481,-0.15727411,-0.18259035,-0.37283394,0.35387546,-0.020564001,-1.4350753,0.2809256,0.25901926,1.0
165066.3,-1.295072,0.80370706,-1.8803068,1.6284451,-0.4781529,-1.2944016,1.0339687,0.14420158,-1.2121032,-3.8543904,1.6897227,-3.6723168,-1.5468936,-4.4457846,0.81675845,-0.63716125,0.38042384,0.10952439,0.60334796,0.85282594,0.6307468,-0.050352596,0.7144969,-0.2933913,-0.38237265,-0.21144786,0.2636757,0.36019582,382.57648,1.0
47413.26,-20.512493,16.299276,-28.908478,8.936363,-20.797646,-2.6399972,-19.509369,16.805548,-6.1637073,-14.7202215,4.420379,-15.988524,1.1388918,-14.289166,-0.07046857,-12.473284,-22.138678,-8.755397,3.1554632,-0.61297256,1.7533987,-0.101436615,-0.9959106,0.73344785,0.35859373,0.2383214,-1.3524166,-0.12580796,0.7382228,1.0
80381.17,-3.0568438,6.202092,-5.396212,6.1255736,-2.166169,-1.5765978,-3.4815404,1.2371675,-3.916517,-6.088621,4.7554345,-7.002014,0.16125464,-9.435688,0.5248151,-5.250111,-6.865192,-1.9607624,1.1390637,0.24339545,1.3985397,-0.8033393,-0.03230215,-0.1767195,0.3014509,0.5210408,0.43386,0.35684717,0.43439358,1.0
141973.05,-7.2347064,1.7686383,-8.605153,4.839276,-0.8865102,-3.6174517,-2.4104903,1.8797215,-2.1688886,-11.891468,3.6143982,-2.7553074,1.3097008,-3.8407168,-0.53191024,-3.2440631,-4.8862977,-2.7246106,0.4465161,0.837447,-0.85012114,1.0772163,-0.16222022,-0.18799254,1.089834,-0.18640222,0.24765229,-0.230321,245.30374,1.0
24210.607,-29.87337,16.434484,-30.558271,6.3525987,-21.66521,-4.05444,-20.078365,19.580618,-5.870401,-14.3331785,2.2294812,-15.591507,1.196785,-9.809617,0.47444847,-12.602469,-22.313286,-8.673596,3.0569167,-1.7664577,26.021343,-3.0854547,-1.1607082,0.79502225,1.9420973,0.06500864,-2.1950788,0.27415356,5.525787,1.0
157683.28,0.7690265,-7.038087,-1.9103343,2.2163212,4.259741,-2.4033687,-0.53004426,-0.20848557,-1.746811,-0.0668081,0.08564988,-2.0076,-1.3803703,-3.151258,1.2623817,2.0695446,4.4643297,0.40472084,0.39856693,-1.1909416,-0.17760961,0.19352409,2.2873833,0.1446599,-2.031998,-1.112713,0.46283093,0.2072452,412.11734,1.0
75521.41,-1.4426799,1.5258279,-5.8834457,2.1779783,-0.7245554,-2.342803,-2.56229,1.1459662,-1.3021473,-5.0719213,3.9709036,-6.0159316,1.2567583,-4.8948817,-0.58672357,-4.99987,-5.219946,-2.1227787,1.110256,-0.04630351,0.745498,0.8024049,0.37402883,-0.20770563,-0.9776473,-0.4099652,0.35671923,0.25070396,98.80758,1.0
