Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.31871217,0.23356147,0.0818259,0.16763692,0.05692044,0.0338627,0.05526990070939064,7.0
I,0.5130651,0.375,0.11,0.47143582,0.23989567,0.09859897,0.15502525866031647,9.0
M,0.47664896,0.35,0.115,0.44852716,0.21123414,0.12287177,0.14649851620197296,8.0
I,0.39499548,0.31384405,0.12,0.39216968,0.19921726,0.08994512,0.10886453092098236,8.0
I,0.53,0.4,0.12614453,0.7250985,0.32928884,0.13036591,0.1787349134683609,8.0
I,0.535,0.415,0.14914097,0.7275389,0.29127035,0.14084546,0.2481735199689865,15.0
F,0.6981967,0.5578116,0.2,1.7163086,0.7305283,0.38791034,0.5146268010139465,13.0
M,0.6340691,0.505,0.165,1.4025933,0.5810471,0.29007053,0.3589610755443573,11.0
F,0.6141227,0.47888598,0.17459041,1.0916754,0.43351513,0.2342048,0.346259206533432,13.0
F,0.53,0.4,0.14306833,0.6869214,0.3393245,0.167969,0.16751830279827118,8.0
I,0.38628522,0.3027191,0.115,0.31302026,0.10889142,0.06388929,0.10421200841665268,12.0
M,0.63,0.4923362,0.165,1.1401395,0.56109625,0.25758892,0.30578941106796265,10.0
F,0.585,0.46,0.155,1.0247577,0.46146476,0.21513143,0.2714419960975647,9.0
F,0.55,0.44,0.15,0.85748726,0.3497931,0.1753559,0.2661588490009308,13.0
M,0.41174704,0.32293436,0.1,0.3118101,0.16448638,0.07202946,0.09827031940221786,8.0
I,0.50747514,0.38908976,0.11736506,0.5738801,0.25557244,0.11530252,0.13879546523094177,8.0
M,0.644452,0.515,0.175,1.3701342,0.56469905,0.2736986,0.41268211603164673,13.0
M,0.3287179,0.25018957,0.08926286,0.17452136,0.113245785,0.039089162,0.06443732231855392,9.0
I,0.33196923,0.24043931,0.08,0.15042348,0.079562,0.030234342,0.04842634126543999,7.0
M,0.53465426,0.42,0.155,0.8838014,0.39278093,0.16269906,0.25,10.0
F,0.47,0.365,0.13,0.6078308,0.18322526,0.10682273,0.1864239126443863,12.0
M,0.6,0.47,0.15,0.93092525,0.38875592,0.20585309,0.2756316363811493,13.0
M,0.61,0.485,0.16,1.189593,0.48103535,0.25857106,0.3044434189796448,11.0
M,0.6831841,0.54543626,0.175,1.6287173,0.70378774,0.34913835,0.44829922914505005,11.0
F,0.5373807,0.43,0.13,0.78464985,0.2605847,0.15670569,0.24446606636047363,13.0
M,0.55,0.415,0.1464144,0.7414673,0.38220793,0.1638317,0.2046012431383133,9.0
M,0.47962883,0.375,0.125,0.57008016,0.26686937,0.12986106,0.17832051217556,10.0
I,0.33214757,0.25621423,0.075,0.1531497,0.05279132,0.04340109,0.06035304814577103,8.0
