Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.6209715,0.4875675,0.17,1.245602,0.46659935,0.22309126,0.3813727796077728,15.0
I,0.5958152,0.46923092,0.16,1.0355492,0.4905161,0.24327514,0.27711084485054016,10.0
M,0.61,0.47,0.15,1.0864182,0.52523404,0.22913848,0.29246413707733154,10.0
M,0.62,0.485,0.17,1.1602497,0.4968406,0.25625566,0.32165786623954773,10.0
M,0.59,0.45,0.135,0.91405165,0.4170193,0.19355819,0.255506694316864,8.0
M,0.59699297,0.47,0.16,0.9657503,0.40186805,0.21561624,0.2987023890018463,13.0
F,0.6,0.45982158,0.16638114,1.1018802,0.50761783,0.23701553,0.30669087171554565,9.0
I,0.1161052,0.08850199,0.021513456,0.014529,0.0040598153,0.0024639447,0.00437120208516717,4.0
F,0.63,0.51,0.17106964,1.2823378,0.548945,0.2731183,0.41506427526474,19.213537216186523
I,0.38818946,0.26478538,0.08786508,0.18700168,0.090045765,0.043525577,0.049469102174043655,8.0
F,0.625,0.48,0.17465457,1.2152265,0.54667133,0.2690267,0.3212054371833801,10.0
M,0.58,0.45,0.15359285,0.93613183,0.43599004,0.20796943,0.25999999046325684,11.0
M,0.30333346,0.23242348,0.079014935,0.17221075,0.057764605,0.030617714,0.044071272015571594,4.0
F,0.4689632,0.355,0.115,0.4922717,0.20941004,0.105228215,0.12249331176280975,9.0
M,0.475,0.36775738,0.135,0.5774269,0.27008006,0.122506306,0.16438418626785278,11.0
I,0.4751503,0.37301457,0.115,0.5507092,0.17727858,0.10378776,0.15512248873710632,4.0
M,0.44963026,0.339762,0.11,0.42627567,0.21596627,0.091825835,0.11997760832309723,10.0
M,0.56,0.435,0.15,0.9409214,0.3714447,0.19454911,0.26499998569488525,11.0
I,0.37,0.2959555,0.105,0.25858605,0.11642854,0.056045163,0.09403308480978012,7.0
M,0.54192287,0.4,0.12688863,0.7763445,0.32268795,0.16491312,0.23074334859848022,10.0
F,0.37980962,0.28499404,0.1,0.26642442,0.13350247,0.05385372,0.07919415831565857,5.0
M,0.36591,0.2782144,0.1,0.2547763,0.10077801,0.060796313,0.09813240170478821,11.0
I,0.5,0.38,0.115,0.6270527,0.23853216,0.119828925,0.16664986312389374,8.0
M,0.60560805,0.485,0.165,1.1783857,0.45877898,0.23580089,0.3629820644855499,13.0
F,0.5512034,0.425,0.135,0.712675,0.34615576,0.16676362,0.18710078299045563,9.0
F,0.7238775,0.5821013,0.9745573,2.8060524,0.56682706,0.5970176,1.0049949884414673,28.999889373779297
F,0.42483485,0.335,0.115,0.36565802,0.14044659,0.079806775,0.13422007858753204,11.0
