Dataset,Augmentaion Ratio,Recall_Original,Recall_Generated
diabetes,30%,0.6625,0.7125
diabetes,50%,0.6625,0.8125
diabetes,70%,0.6625,0.825
diabetes,100%,0.6625,0.8875
HTRU,30%,0.8353909465020576,0.8847736625514403
HTRU,50%,0.8353909465020576,0.9074074074074074
HTRU,70%,0.8353909465020576,0.911522633744856
HTRU,100%,0.8353909465020576,0.9176954732510288
mammography,30%,0.5945945945945946,0.7027027027027027
mammography,50%,0.5945945945945946,0.7297297297297297
mammography,70%,0.5945945945945946,0.7702702702702703
mammography,100%,0.5945945945945946,0.8108108108108109
creditcard_sampled,30%,0.7647058823529411,0.7647058823529411
creditcard_sampled,50%,0.7647058823529411,0.8823529411764706
creditcard_sampled,70%,0.7647058823529411,0.8823529411764706
creditcard_sampled,100%,0.7647058823529411,0.8823529411764706
diabetes,50%,0.6625,0.875
diabetes,100%,0.6625,0.825
