Dataset,Epochs_on_Auto_Encoder,Recall_Original,Recall_Generated
diabetes,100,0.6625,0.7875
diabetes,400,0.6625,0.85
diabetes,700,0.6625,0.875
diabetes,1000,0.6625,0.875
diabetes,1500,0.6625,0.875
diabetes,2000,0.6625,0.875
diabetes,2500,0.6625,0.85
diabetes,3000,0.6625,0.875
diabetes,3500,0.6625,0.9
diabetes,5000,0.6625,0.8625
diabetes,10000,0.6625,0.9
HTRU,100,0.835391,0.899177
HTRU,400,0.835391,0.919753
HTRU,700,0.835391,0.927984
HTRU,1000,0.835391,0.923868
HTRU,1500,0.835391,0.921811
HTRU,2000,0.835391,0.927984
HTRU,2500,0.835391,0.923868
HTRU,3000,0.835391,0.925926
HTRU,3500,0.835391,0.927984
HTRU,5000,0.835391,0.925926
HTRU,10000,0.835391,0.923868
mammography,100,0.594595,0.702703
mammography,400,0.594595,0.824324
mammography,700,0.594595,0.783784
mammography,1000,0.594595,0.824324
mammography,1500,0.594595,0.810811
mammography,2000,0.594595,0.824324
mammography,2500,0.594595,0.824324
mammography,3000,0.594595,0.824324
mammography,3500,0.594595,0.837838
mammography,5000,0.594595,0.824324
mammography,10000,0.594595,0.797297
mammography,100,0.594595,0.702703
mammography,400,0.594595,0.824324
mammography,700,0.594595,0.783784
mammography,1000,0.594595,0.824324
mammography,1500,0.594595,0.810811
mammography,2000,0.594595,0.824324
mammography,2500,0.594595,0.824324
mammography,3000,0.594595,0.824324
mammography,3500,0.594595,0.837838
mammography,5000,0.594595,0.824324
mammography,10000,0.594595,0.797297
creditcard_sampled,100,0.764706,0.823529
creditcard_sampled,400,0.764706,0.823529
creditcard_sampled,700,0.764706,0.882353
creditcard_sampled,1000,0.764706,0.823529
creditcard_sampled,1500,0.764706,0.823529
creditcard_sampled,2000,0.764706,0.882353
creditcard_sampled,2500,0.764706,0.882353
creditcard_sampled,3000,0.764706,0.882353
creditcard_sampled,3500,0.764706,0.882353
creditcard_sampled,5000,0.764706,0.823529
creditcard_sampled,10000,0.764706,0.882353
