Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.39477715,0.3,0.1,0.2857722,0.1365348,0.046060342,0.07602774351835251,7.0
I,0.3852875,0.30436397,0.095,0.35701433,0.16986449,0.056876525,0.09870502352714539,8.0
F,0.7096147,0.5693598,0.205,1.7588575,0.7273482,0.32483286,0.5555295944213867,12.0
I,0.4415033,0.335,0.1,0.46055093,0.21260254,0.088059366,0.11841221153736115,8.0
I,0.535,0.4091765,0.12,0.6156893,0.2978329,0.111811936,0.15951885282993317,8.0
I,0.30990162,0.21287093,0.05944215,0.1103045,0.037353948,0.03542845,0.020401908084750175,4.0
M,0.43778,0.325,0.1,0.3421091,0.10295935,0.08999253,0.09807194769382477,6.0
M,0.53,0.44318026,0.18230806,0.8918962,0.37404773,0.19531208,0.25999999046325684,18.0
I,0.5531546,0.42,0.145,0.76944476,0.3004711,0.17816028,0.2507319152355194,9.0
F,0.6998287,0.5636888,0.19,1.6660206,0.60410935,0.3953896,0.4885610342025757,16.0
F,0.67573303,0.53,0.18580103,1.7135458,0.68834436,0.38186374,0.48969703912734985,11.0
I,0.18405068,0.13669272,0.065,0.049473584,0.029030351,0.012173972,0.010986688546836376,5.0
F,0.655,0.5206142,0.19250387,1.3789028,0.5726344,0.2758872,0.4053214192390442,11.0
I,0.51448977,0.395,0.135,0.66924363,0.3034315,0.11625718,0.18802528083324432,8.0
M,0.39194185,0.29733026,0.105,0.3670101,0.16060005,0.10169468,0.08730624616146088,7.0
I,0.53,0.4,0.115,0.7707333,0.35637292,0.16187957,0.20348994433879852,10.0
M,0.62,0.485,0.21735394,1.301912,0.49352494,0.28869987,0.4269395172595978,14.0
I,0.41352096,0.31790987,0.11,0.3672001,0.15305002,0.062460452,0.10854775458574295,6.0
F,0.585,0.46,0.165,1.0119407,0.35758567,0.2088013,0.3211796283721924,17.0
M,0.603133,0.475,0.17,1.1827675,0.48949164,0.22731127,0.33500000834465027,23.190275192260742
F,0.66,0.52,0.18,1.4761134,0.6446942,0.29310292,0.4605507552623749,10.0
I,0.56443727,0.435,0.145,0.7516727,0.2817488,0.15959908,0.25898468494415283,9.0
M,0.4518583,0.35423598,0.1400866,0.5504192,0.23323832,0.10683414,0.16942468285560608,9.0
M,0.65,0.505,0.175,1.3886482,0.68188864,0.2853282,0.31520089507102966,12.0
F,0.475,0.365,0.09,0.6088702,0.25148404,0.11342836,0.16734404861927032,8.0
I,0.505,0.395,0.125,0.75117606,0.3427058,0.15020187,0.17798252403736115,7.0
I,0.49106747,0.36977237,0.13,0.5380659,0.21147859,0.14239794,0.15176692605018616,7.0
M,0.50234634,0.40934217,0.115,0.8004361,0.32209316,0.16098112,0.25017502903938293,9.0
F,0.5154399,0.40024439,0.10932279,0.78761744,0.34340286,0.17394723,0.17897135019302368,6.0
F,0.69819844,0.5463188,0.2,2.0119421,0.78712624,0.4426937,0.5740947723388672,13.0
F,0.38760915,0.2968302,0.095701635,0.3264228,0.13475135,0.055071056,0.10060559213161469,11.0
M,0.7209457,0.5664356,0.29411557,2.122473,0.9628501,0.4078366,0.5503792762756348,13.0
I,0.625,0.475,0.15591377,1.1508731,0.52273095,0.21970738,0.3103770315647125,12.0
M,0.71824443,0.5692479,0.38239577,2.053244,0.8126593,0.37761828,0.7035049200057983,12.0
I,0.425,0.31108496,0.1,0.32801175,0.11932622,0.08538105,0.09659682214260101,7.0
M,0.64173573,0.505,0.19219899,1.4152889,0.53293246,0.26219806,0.4647470712661743,17.0
M,0.66392803,0.515,0.18480262,1.5416929,0.68738264,0.30575538,0.41029638051986694,12.0
F,0.612934,0.475,0.155,1.2926669,0.606875,0.2726652,0.3400009274482727,9.0
M,0.65,0.51032585,0.185,1.4814031,0.58926225,0.35328096,0.38203105330467224,14.0
M,0.625,0.4971274,0.16,1.0582277,0.39965633,0.22440258,0.28879669308662415,16.0
F,0.635,0.5,0.195,1.3799037,0.5316491,0.32802412,0.4249669015407562,13.0
F,0.68728256,0.5465368,0.18334536,1.6705099,0.69183064,0.317265,0.42960622906684875,18.0
F,0.42203745,0.325,0.1,0.4043308,0.16894625,0.08640843,0.10655784606933594,9.0
F,0.52961224,0.4060776,0.15,0.6218549,0.23182619,0.14749117,0.21455955505371094,9.0
M,0.6578433,0.51775205,0.19,1.5152514,0.60426205,0.34734967,0.38177213072776794,15.0
M,0.42589143,0.33646724,0.115,0.4623526,0.19281633,0.07942729,0.14210817217826843,10.0
I,0.48525596,0.38,0.105,0.5956638,0.26704606,0.13787515,0.15049387514591217,7.0
F,0.6749074,0.54184073,0.16,1.4001889,0.46801737,0.29036796,0.5025618672370911,15.0
I,0.4920185,0.38922966,0.12,0.49430797,0.19196521,0.11598645,0.14539651572704315,7.0
M,0.32385224,0.23392558,0.085,0.23611392,0.101123445,0.056196205,0.046862442046403885,6.0
F,0.62,0.485,0.125,0.9977347,0.3821613,0.2221875,0.2774154245853424,11.0
F,0.7537197,0.5840051,0.175,2.1037972,0.9098161,0.443095,0.5759798884391785,12.0
I,0.40523753,0.30549946,0.125,0.35347843,0.13789505,0.07966794,0.11214413493871689,7.0
F,0.64330447,0.5004894,0.165,1.2588465,0.57873935,0.36835116,0.27481383085250854,9.0
F,0.6521087,0.5106442,0.17,1.2669998,0.6171704,0.23731604,0.309288889169693,12.0
I,0.31343818,0.23188661,0.054273687,0.17771994,0.06773968,0.042356685,0.06315764039754868,6.0
M,0.67600065,0.52473503,0.20213827,1.6580801,0.7114477,0.39719367,0.39896532893180847,13.0
M,0.625,0.485,0.135323,1.0772384,0.47911862,0.23772334,0.2940535843372345,9.0
I,0.47474968,0.36463258,0.105,0.5496433,0.2411789,0.115849875,0.15543006360530853,11.0
F,0.71964335,0.5571913,0.1839042,1.882053,0.8439161,0.46420708,0.4869101047515869,10.0
M,0.596181,0.47,0.175,0.9904327,0.36177078,0.1825387,0.3453996181488037,11.0
I,0.603253,0.455,0.135,1.0847713,0.5299126,0.24638012,0.25120657682418823,11.0
I,0.655,0.5021345,0.165,1.3042595,0.50203174,0.33208242,0.3720819652080536,12.0
F,0.5981899,0.47,0.15,1.1513485,0.5819866,0.19027777,0.2979319989681244,8.0
I,0.515,0.395,0.15,0.7086382,0.28136364,0.15105538,0.19729183614253998,12.0
F,0.57685894,0.47,0.15,0.9832568,0.37479812,0.11723033,0.3585783541202545,28.891496658325195
I,0.3247378,0.2312158,0.075,0.17003511,0.07755454,0.035456304,0.03616391494870186,5.0
M,0.655,0.5210472,0.19690992,1.4732875,0.68533176,0.31331962,0.3454554080963135,11.0
F,0.7011227,0.55235225,0.195,1.6214293,0.71808213,0.26513296,0.476483017206192,13.0
I,0.5,0.3735291,0.105,0.54907894,0.27645448,0.10875099,0.11471587419509888,7.0
I,0.3512621,0.26401046,0.08856753,0.12086146,0.059360255,0.02995339,0.040366340428590775,6.0
F,0.65,0.51,0.17849457,1.4374018,0.55227983,0.32007656,0.4755174517631531,10.0
I,0.575,0.45,0.15,0.738881,0.22519085,0.23769903,0.25167080760002136,15.0
F,0.655,0.51,0.19,1.4986323,0.62259835,0.34343642,0.4582781195640564,10.0
F,0.55,0.435,0.155,0.76421297,0.26602435,0.13114847,0.2825237512588501,14.0
F,0.6969167,0.5529955,0.1989151,1.6118383,0.7259344,0.31374523,0.4088212251663208,14.0
I,0.62,0.4774431,0.18,1.129084,0.45166653,0.22211108,0.3383704125881195,13.0
I,0.46,0.3593219,0.135,0.47228596,0.19729677,0.08240979,0.1198844388127327,6.0
I,0.4855348,0.37,0.13,0.7094288,0.28852507,0.16166575,0.2158403843641281,8.0
I,0.55427504,0.43,0.15,0.7456084,0.27057877,0.15517022,0.25,11.0
M,0.578269,0.45,0.16,0.9590936,0.4164828,0.19694795,0.26499998569488525,8.0
I,0.3593803,0.2665595,0.08,0.24861255,0.10696138,0.06375631,0.06707839667797089,6.0
I,0.59,0.46957746,0.2080894,1.1434717,0.4616842,0.2716302,0.3614737391471863,15.0
I,0.3432625,0.24739338,0.095,0.18463486,0.115133606,0.02470969,0.028703831136226654,5.0
I,0.5177602,0.40270925,0.16,0.58365387,0.22143692,0.12543409,0.1708461493253708,12.0
I,0.30411336,0.22153501,0.061752796,0.105524495,0.05170028,0.017432135,0.03616179898381233,5.0
F,0.655,0.52540225,0.16,1.3282127,0.43512592,0.30759183,0.44346609711647034,14.0
I,0.5038552,0.39,0.12,0.52868885,0.17690112,0.13849345,0.18961641192436218,11.0
F,0.7135295,0.57098514,0.205,1.7944245,0.97801733,0.29559246,0.448136568069458,12.0
F,0.525,0.405,0.145,0.70232683,0.3114403,0.15651688,0.19001974165439606,9.0
I,0.3940135,0.30957177,0.105,0.35733387,0.1580883,0.074966244,0.09242718666791916,7.0
