Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.555,0.4261921,0.135,0.75033164,0.36871278,0.16220686,0.18962989747524261,8.0
F,0.54831874,0.41931635,0.16,0.97158146,0.43610358,0.19955067,0.27511653304100037,10.0
F,0.61,0.48,0.155,1.0820926,0.507964,0.24590492,0.30172690749168396,9.0
I,0.44,0.3418697,0.105,0.45840842,0.20697714,0.07739862,0.1345585435628891,6.0
I,0.3731731,0.26890606,0.095,0.22837105,0.102596045,0.037115928,0.06405942887067795,6.0
M,0.63964957,0.51,0.17,1.3831571,0.5423047,0.2925802,0.4036760926246643,13.0
I,0.26586822,0.18211344,0.058092054,0.093766406,0.040710356,0.014161812,0.031187033280730247,6.0
M,0.537123,0.41859043,0.14836222,0.89924634,0.40295222,0.17529204,0.23441442847251892,9.0
M,0.63,0.485,0.175,1.2584171,0.5987399,0.3007472,0.3338835835456848,9.0
F,0.52654606,0.415,0.15,0.768988,0.40826455,0.17902502,0.18481001257896423,9.0
I,0.51562154,0.3999463,0.12,0.5421644,0.27528417,0.12747937,0.16590575873851776,9.0
M,0.57,0.45,0.155,0.88063484,0.3605147,0.19362867,0.2843441665172577,12.0
M,0.535,0.42743328,0.15,0.8583363,0.27701956,0.17221898,0.2765091359615326,13.0
I,0.45202413,0.345484,0.09,0.36650106,0.15396623,0.08531574,0.10368580371141434,8.0
M,0.70555687,0.5398968,0.19302626,1.7796267,0.8738606,0.38583437,0.4799990653991699,10.0
F,0.47963515,0.375,0.125,0.598822,0.20208482,0.11649704,0.22021158039569855,13.0
F,0.6149388,0.46742257,0.165,1.176038,0.5108959,0.25992724,0.33612924814224243,10.0
I,0.57,0.45,0.15,0.8931914,0.41871703,0.19843994,0.26499998569488525,9.0
F,0.5862299,0.455,0.155,1.0414377,0.44355384,0.22442704,0.28738558292388916,10.0
I,0.31563032,0.21930644,0.07957574,0.14756845,0.06864455,0.026594903,0.04426193609833717,6.0
M,0.635,0.495,0.175,1.2585061,0.6113553,0.29537112,0.3231792747974396,10.0
M,0.625,0.495,0.17012188,1.2276381,0.5319683,0.27868098,0.3693503439426422,10.0
I,0.37,0.28672636,0.105,0.28123456,0.1482435,0.059840772,0.08391009271144867,8.0
I,0.38056675,0.29759124,0.095,0.21084778,0.0851666,0.0579811,0.07530608028173447,5.0
I,0.46,0.32418892,0.1,0.35644644,0.15458266,0.07489296,0.11973947286605835,8.0
M,0.57,0.44950467,0.15,0.922689,0.43042085,0.18784289,0.24478952586650848,11.0
M,0.51529264,0.4,0.135,0.60369396,0.24835183,0.14652508,0.19558821618556976,11.0
I,0.41570884,0.3030809,0.1,0.29527587,0.16438435,0.05699268,0.07321733981370926,7.0
M,0.6689158,0.5302401,0.185,1.5640608,0.6918293,0.36477306,0.4108898937702179,9.0
F,0.5595013,0.43900773,0.15,0.8955795,0.39391854,0.20340668,0.22717706859111786,9.0
I,0.558201,0.45,0.14420831,0.8012587,0.37970248,0.16904612,0.2275816798210144,11.0
M,0.505,0.4067352,0.15,0.8129266,0.2996727,0.16981302,0.24027776718139648,13.0
I,0.45674482,0.35275003,0.1,0.45807704,0.19196574,0.08464178,0.12388461828231812,6.0
F,0.67959225,0.525,0.175,1.572254,0.75628567,0.34725648,0.42366066575050354,10.0
F,0.53,0.425,0.16,0.8845964,0.3360992,0.16898656,0.24894562363624573,11.0
I,0.47912952,0.39,0.135,0.5366241,0.26332337,0.11182034,0.14447708427906036,11.0
I,0.46,0.34773186,0.115,0.48424214,0.18543108,0.08604809,0.13013197481632233,7.0
F,0.585,0.445,0.15,0.94641006,0.330515,0.19556537,0.31635037064552307,16.626693725585938
F,0.29729196,0.23359767,0.08613796,0.17929387,0.08743594,0.03901503,0.05152960121631622,8.0
I,0.23290853,0.15343514,0.053176273,0.04421963,0.019964894,0.012666053,0.02174699679017067,6.0
F,0.655,0.5,0.17,1.3145659,0.61957616,0.2877792,0.35655948519706726,10.0
M,0.5563534,0.43,0.155,0.9154531,0.4391206,0.20149079,0.255508691072464,10.0
F,0.47656944,0.37,0.125,0.51748,0.28183883,0.10727024,0.13071952760219574,9.0
F,0.50927746,0.4,0.14,0.80170834,0.29633376,0.14852087,0.2124219387769699,10.0
F,0.43306154,0.34610268,0.1,0.41702023,0.17140412,0.09000425,0.10349546372890472,4.0
I,0.35837808,0.2496145,0.07217657,0.18273899,0.084445715,0.028623875,0.05675917863845825,7.0
M,0.699889,0.5722989,0.195,1.787896,0.8718885,0.39799392,0.5024942755699158,11.0
F,0.635,0.4986993,0.17,1.2408218,0.5907155,0.30176207,0.33500000834465027,10.0
I,0.42056894,0.31721377,0.105,0.31487742,0.16390745,0.07240942,0.09484514594078064,8.0
M,0.53425854,0.42,0.15,0.8683525,0.371003,0.1868082,0.23159833252429962,9.0
I,0.37,0.2763557,0.1,0.28160918,0.15158698,0.057696704,0.0803770124912262,7.0
M,0.53424,0.425,0.145,0.80000883,0.33321157,0.16780625,0.23943068087100983,13.0
M,0.55419815,0.42,0.135,0.770381,0.35174695,0.16784725,0.19742368161678314,9.0
F,0.6362825,0.5,0.165,1.1687069,0.5285684,0.25851905,0.3446384370326996,11.0
F,0.425,0.3209484,0.095065646,0.3637223,0.12411408,0.06331206,0.10451275110244751,4.0
I,0.444461,0.3299175,0.105,0.36604142,0.17635757,0.08247354,0.09364700317382812,8.0
M,0.53,0.41250017,0.13,0.7124119,0.34470347,0.15167847,0.18941040337085724,8.0
I,0.5,0.4112467,0.15,0.6322939,0.3036891,0.14843895,0.19565372169017792,11.0
M,0.5995506,0.47,0.155,1.1065696,0.49516904,0.24601924,0.2942798435688019,10.0
M,0.5837977,0.46,0.17,0.98498845,0.4038227,0.2075878,0.30808186531066895,13.0
M,0.5118866,0.39458585,0.13726005,0.62212676,0.2993983,0.14484783,0.19549855589866638,10.0
M,0.43537962,0.335,0.12473691,0.457963,0.18934342,0.089772105,0.14497889578342438,10.0
M,0.63,0.49,0.185,1.3298163,0.5679975,0.32436648,0.35618817806243896,9.0
