step,mloss,gloss,loss
100.0,0.0,0.929,0.929
200.0,0.0,0.7966,0.7966
300.0,0.0,0.7217,0.7217
400.0,0.0,0.6641,0.6641
500.0,0.0,0.6241,0.6241
600.0,0.0,0.5907,0.5907
700.0,0.0,0.568,0.568
800.0,0.0,0.5426,0.5426
900.0,0.0,0.5191,0.5191
1000.0,0.0,0.5003,0.5003
1100.0,0.0,0.4825,0.4825
1200.0,0.0,0.4623,0.4623
1300.0,0.0,0.4495,0.4495
1400.0,0.0,0.4351,0.4351
1500.0,0.0,0.4244,0.4244
1600.0,0.0,0.4119,0.4119
1700.0,0.0,0.3978,0.3978
1800.0,0.0,0.3852,0.3852
1900.0,0.0,0.3758,0.3758
2000.0,0.0,0.3687,0.3687
2100.0,0.0,0.3584,0.3584
2200.0,0.0,0.3509,0.3509
2300.0,0.0,0.3416,0.3416
2400.0,0.0,0.3366,0.3366
2500.0,0.0,0.3304,0.3304
2600.0,0.0,0.3257,0.3257
2700.0,0.0,0.3171,0.3171
2800.0,0.0,0.3152,0.3152
2900.0,0.0,0.3088,0.3088
3000.0,0.0,0.3009,0.3009
3100.0,0.0,0.2969,0.2969
3200.0,0.0,0.2907,0.2907
3300.0,0.0,0.2896,0.2896
3400.0,0.0,0.2854,0.2854
3500.0,0.0,0.279,0.279
3600.0,0.0,0.2747,0.2747
3700.0,0.0,0.2716,0.2716
3800.0,0.0,0.2676,0.2676
3900.0,0.0,0.2614,0.2614
4000.0,0.0,0.2568,0.2568
4100.0,0.0,0.2556,0.2556
4200.0,0.0,0.2492,0.2492
4300.0,0.0,0.2465,0.2465
4400.0,0.0,0.245,0.245
4500.0,0.0,0.237,0.237
4600.0,0.0,0.2357,0.2357
4700.0,0.0,0.2339,0.2339
4800.0,0.0,0.2286,0.2286
4900.0,0.0,0.2272,0.2272
5000.0,0.0,0.2256,0.2256
5100.0,0.0,0.2264,0.2264
5200.0,0.0,0.2239,0.2239
5300.0,0.0,0.2229,0.2229
5400.0,0.0,0.2209,0.2209
5500.0,0.0,0.2196,0.2196
5600.0,0.0,0.2189,0.2189
5700.0,0.0,0.2154,0.2154
5800.0,0.0,0.2171,0.2171
5900.0,0.0,0.2137,0.2137
6000.0,0.0,0.2107,0.2107
6100.0,0.0,0.2119,0.2119
6200.0,0.0,0.2104,0.2104
6300.0,0.0,0.2053,0.2053
6400.0,0.0,0.2072,0.2072
6500.0,0.0,0.2031,0.2031
6600.0,0.0,0.2056,0.2056
6700.0,0.0,0.2033,0.2033
6800.0,0.0,0.2049,0.2049
6900.0,0.0,0.2041,0.2041
7000.0,0.0,0.2007,0.2007
7100.0,0.0,0.2011,0.2011
7200.0,0.0,0.1977,0.1977
7300.0,0.0,0.1985,0.1985
7400.0,0.0,0.1983,0.1983
7500.0,0.0,0.1937,0.1937
7600.0,0.0,0.1956,0.1956
7700.0,0.0,0.1934,0.1934
7800.0,0.0,0.192,0.192
7900.0,0.0,0.1911,0.1911
8000.0,0.0,0.1934,0.1934
8100.0,0.0,0.1884,0.1884
8200.0,0.0,0.1917,0.1917
8300.0,0.0,0.1905,0.1905
8400.0,0.0,0.1874,0.1874
8500.0,0.0,0.1875,0.1875
8600.0,0.0,0.1868,0.1868
8700.0,0.0,0.1881,0.1881
8800.0,0.0,0.1871,0.1871
8900.0,0.0,0.185,0.185
9000.0,0.0,0.1827,0.1827
